"To","From","total_count"
1505,733,1
1505,2320,2
1505,2669,1
1489,785,1
1512,2654,1
1513,216,4
1514,216,4
1514,1513,9
1516,1699,2
1517,425,1
1517,1590,1
1518,425,1
1518,1517,1
1518,1590,1
1521,2114,1
1521,1770,1
1522,2454,1
1530,1631,2
1531,727,2
1531,2273,6
1532,2239,2
1532,2292,1
1534,1967,1
1537,1874,1
1537,1935,1
1539,1588,1
1547,131,1
1555,717,1
1555,2108,1
1555,2281,1
1555,1819,1
1556,1737,1
1561,1661,1
1558,724,1
1558,1551,1
1562,922,1
1565,1570,1
1566,1567,2
1568,1730,2
1570,2469,1
1573,2384,1
1575,1742,1
1593,2450,1
1593,1790,2
1598,1632,1
1590,425,1
1604,171,1
1604,1291,1
1604,1603,5
1606,620,1
1606,915,1
1606,896,1
1606,14,1
1609,1080,1
1609,1087,1
1609,1649,1
1610,2048,1
1611,2095,1
1613,2389,1
1645,546,2
1645,632,1
1645,1350,1
1645,1456,1
1645,2540,1
1645,1768,1
1649,1928,2
1650,717,1
1650,2606,1
1650,1805,1
1633,2002,1
1634,428,1
1634,597,2
1634,1633,33
1634,2002,1
1634,1807,1
1637,1886,1
1639,547,1
1659,1658,2
1670,2606,1
1672,53,2
1672,247,1
1672,547,1
1672,852,2
1672,900,1
1672,1432,2
1672,1502,1
1672,1673,55
1672,2311,1
1675,828,1
1675,1332,3
1675,1569,1
1675,2381,2
1675,2506,1
1675,2511,1
1679,243,2
1656,800,1
1656,1380,2
1683,87,1
1684,2033,1
1702,1380,1
1702,1703,6
1888,1889,8
1997,2218,2
1964,2158,1
1965,1964,39
1965,2158,1
2011,423,2
2009,2032,1
2009,2093,1
2009,1857,1
2014,2606,1
2015,2266,1
2018,118,1
2018,990,1
2018,2148,1
2023,86,2
2023,635,1
2030,2627,1
2038,2465,1
2047,2257,2
2047,2627,2
2056,2544,1
2057,2095,3
2057,2555,3
2057,2568,1
2067,2244,1
2080,2592,1
2075,2552,1
2082,116,1
2082,373,1
2082,507,2
2082,1988,1
2082,1984,1
2095,2344,1
2103,722,1
2103,837,1
2103,2417,1
2108,2281,1
2110,1057,2
2113,2450,1
2119,2447,1
2121,1293,1
2124,2123,8
2127,2657,1
2129,2479,1
2130,1127,1
2130,2555,2
2161,890,1
2161,2160,9
2161,1748,1
2169,289,1
2169,727,3
2169,2263,1
2131,2157,1
2139,2457,1
2141,2057,2
2141,2555,1
2141,2638,1
2141,1708,1
2176,791,1
2176,1535,1
2176,2186,2
2176,2211,1
2176,2325,1
2176,2551,1
2179,2606,1
2190,417,1
2190,455,1
2191,417,1
2191,455,1
2191,1057,1
2191,2190,17
2200,2172,1
2210,2586,2
2211,727,2
2214,2532,1
2219,218,1
2219,247,2
2219,1997,2
2219,2218,15
2237,2239,1
2239,2292,1
