"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"br.","d]a-a-<U+1E2B>a-an-na",NA,"KUB 20.96 II 5'",635,"<U+1E2A>attuša","jh.","(Bo 5023)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 20.96 III 12'",635,"<U+1E2A>attuša","jh.","(Bo 5023)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a-an-na",NA,"KUB 20.96 III 15'",635,"<U+1E2A>attuša","jh.","(Bo 5023)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a-an-na",NA,"KUB 20.96 IV 18",635,"<U+1E2A>attuša","jh.","(Bo 5023)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 38.14 Vs. 11",527,"<U+1E2A>attuša","jh.","(Bo 2404)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 40.101 Vs. 9'",682,"<U+1E2A>attuša","sjh.","(Bo 431)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 41.29 Vs. III 5'",635,"<U+1E2A>attuša","sjh.","(Bo 168)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-[",NA,"IBoT 3.30 II? 5'",635,"<U+1E2A>attuša","jh.","(Bo 742)","Da<U+1E2B>a"
"—","da-<U+1E2B>a-ya",NA,"Bo 7949 Rs. 5",741,"<U+1E2A>attuša","jh.","(Bo 6428)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a",NA,"Bo 7949 Vs. 4' + KUB 48.21 Vs. 2'",741,"<U+1E2A>attuša","jh.","(Bo 6428)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-<U+1E2B>a",NA,"Bo 7949 Vs. 8' + KUB 48.21 Vs. 6'",741,"<U+1E2A>attuša","jh.","(Bo 6428)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a-an",NA,"KUB 51.40 Vs. III 8'",685,"<U+1E2A>attuša","jh.","(Bo 1229)","Da<U+1E2B>a"
"[<U+1E2A>UR.S]AG","da-a-<U+1E2B>a",NA,"KUB 51.40 Vs. III 9'",685,"<U+1E2A>attuša","jh.","(Bo 1229)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a-an",NA,"KUB 54.82 Rs. 3",635,"<U+1E2A>attuša","jh.","(Bo 1703)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 55.1 IV 13",581,"<U+1E2A>attuša","jh.","(Bo 2401)","Da<U+1E2B>a"
"br.","]-a-<U+1E2B>a",NA,"KUB 55.15 III? 1",528,"<U+1E2A>attuša","jh.","(Bo 2173)","Da<U+1E2B>a"
"br.","d]a-a-<U+1E2B>a",NA,"KUB 55.15 III? 3",528,"<U+1E2A>attuša","jh.","(Bo 2173)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 56.56 IV 10",529,"<U+1E2A>attuša","jh.","(Bo 2643)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 59.13 III! 10",685,"<U+1E2A>attuša","sjh.","(Bo 3106)","Da<U+1E2B>a"
"[<U+1E2A>UR.S]AG","da-a-<U+1E2B>a",NA,"KUB 59.13 III! 13",685,"<U+1E2A>attuša","sjh.","(Bo 3106)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 59.13 III! 7",685,"<U+1E2A>attuša","sjh.","(Bo 3106)","Da<U+1E2B>a"
"[<U+1E2A>UR.SA]G","da-a-<U+1E2B>a",NA,"KUB 59.13 III! 9",685,"<U+1E2A>attuša","sjh.","(Bo 3106)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 59.13 IV! 12'",685,"<U+1E2A>attuša","sjh.","(Bo 3106)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"KUB 60.10 lk. Kol. 3'",670,"<U+1E2A>attuša","jh.","(Bo 1106)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>[a",NA,"KUB 60.63 16'",635,"<U+1E2A>attuša","jh.","(Bo 1406)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a [",NA,"KUB 60.106 5'",670,"<U+1E2A>attuša","sjh.","(Bo 1766)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","da-a-<U+1E2B>a",NA,"VSNF 12.1 Rs. 31'",604,"<U+1E2A>attuša","sjh.","(VAT 13029)","Da<U+1E2B>a"
"<U+1E2A>UR.SAG","ta-<U+1E2B>a-ya-i",NA,"KBo 3.34 I 16",8,"<U+1E2A>attuša","jh.","(VAT 13062)","Da<U+1E2B>aya"
"URU","ta-<U+1E2B>a-ya",NA,"KBo 10.10 IV 5",235,"Bk. E","jh.","(2242/c)","Da<U+1E2B>aya"
"<U+1E2A>UR.SAG","ta-[<U+1E2B>a-y]a-i",NA,"KBo 12.10 4' + KBo 13.44a 8'",8,"HaH","jh.","(751/t)","Da<U+1E2B>aya"
"URU","ta-<U+1E2B>[a-",NA,"KBo 47.193 4'",140,"---","mh.","(457/e)","Da<U+1E2B>aya"
"URU","d[a-",NA,"KBo 47.76 Rs. 15'",663,"Bk. M","jh.","(2012/u)","Da<U+1E2B>aya"
"URU","da-a-<U+1E2B>a-ya",NA,"KBo 47.76 Vs. 5'",663,"Bk. M","jh.","(2012/u)","Da<U+1E2B>aya"
